size.bin.start	size.bin.end	estimate	p.value	conf.low	conf.high	method	alternative	case.above	case.below	control.above	control.below
0	1000	1.10427097364503	0.261241043528486	0.828250193975352	1.46479874153549	Fisher's Exact Test for Count Data	greater	87	710	163	1469
1000	2000	1.08483034952497	0.302253293139116	0.816893553649374	1.43685346500804	Fisher's Exact Test for Count Data	greater	111	273	205	547
2000	3000	0.904501120947535	0.735166737209223	0.614779868333008	1.32601757533495	Fisher's Exact Test for Count Data	greater	68	111	147	217
3000	4000	1.02176101498624	0.50987625049318	0.627901405777582	1.66114366783717	Fisher's Exact Test for Count Data	greater	55	63	88	103
4000	5000	0.692667696339679	0.901787402327637	0.341694307125223	1.37102478539985	Fisher's Exact Test for Count Data	greater	19	53	42	81
5000	6000	0.736716746066399	0.85541238889403	0.349056961369035	1.51989108770521	Fisher's Exact Test for Count Data	greater	18	40	41	67
6000	7000	1.02694595130295	0.549926903186187	0.441442546858375	2.37216818012248	Fisher's Exact Test for Count Data	greater	18	23	32	42
7000	8000	1.17890668839254	0.480404166346646	0.364537949947859	3.82242836526912	Fisher's Exact Test for Count Data	greater	10	10	22	26
8000	9000	0.903502449969571	0.680829623928463	0.225448672055925	3.48670955676513	Fisher's Exact Test for Count Data	greater	7	12	11	17
9000	10000	1.55043254218433	0.380124453902081	0.329269609259347	7.57773856455843	Fisher's Exact Test for Count Data	greater	8	7	8	11
10000	11000	0.599537190028081	0.859102706711161	0.102673196252561	3.0312959719481	Fisher's Exact Test for Count Data	greater	4	11	8	13
11000	12000	0.684009668512531	0.819309087149205	0.148377908780506	2.82840463679371	Fisher's Exact Test for Count Data	greater	5	10	14	19
12000	13000	0.86223052617248	0.72254677614753	0.12504814028226	5.51097970433058	Fisher's Exact Test for Count Data	greater	4	7	6	9
13000	14000	Inf	0.285714285714286	0.141718578868236	Inf	Fisher's Exact Test for Count Data	greater	2	0	2	3
14000	15000	0.684926120164616	0.818181818181818	0.039922079927209	9.10532132269658	Fisher's Exact Test for Count Data	greater	2	3	5	5
